,primary_mode,trip_distance_meters,origin_bgrp_fips_2020,origin_bgrp_lat_2020,origin_bgrp_lng_2020,destination_bgrp_fips_2020,destination_bgrp_lat_2020,destination_bgrp_lng_2020,emission_factor,co2_emissions_grams
125235,private_auto,1566.1570336634034,360470128011,40.6308,-74.0133,360470192001,40.6299,-73.998,175.0,274.0774808910956
126004,private_auto,1507.7868845307507,360850112013,40.5815,-74.086,360850112013,40.5815,-74.086,175.0,263.8627047928814
126140,private_auto,223.8311914136503,360850122003,40.5766,-74.1156,360850134001,40.5724,-74.116,175.0,39.1704584973888
126740,private_auto,2316.484978966024,360811551034,40.7518,-73.7158,360811579025,40.7378,-73.7105,175.0,405.3848713190542
127084,private_auto,12864.575021105493,360811621003,40.7286,-73.7293,360810799001,40.7469,-73.8258,175.0,2251.300628693461
127627,private_auto,1624.797683732617,360811507011,40.7633,-73.7365,360811507023,40.7659,-73.7267,175.0,284.339594653208
127636,private_auto,1610.3487498011511,360811479003,40.7702,-73.7407,360811507011,40.7633,-73.7365,175.0,281.8110312152014
127762,private_auto,3496.260872818223,360811529012,40.7525,-73.7383,360811471002,40.7602,-73.7637,175.0,611.845652743189
127953,private_auto,587.4676004908944,360811479003,40.7702,-73.7407,360811507011,40.7633,-73.7365,175.0,102.80683008590653
128695,private_auto,5439.96373671416,360811377003,40.7493,-73.7477,360811347012,40.7397,-73.7837,175.0,951.993653924978
128790,private_auto,6302.782735387499,360811551042,40.7522,-73.7079,360811377004,40.7439,-73.7489,175.0,1102.9869786928123
128830,private_auto,14163.134695519955,360811507023,40.7659,-73.7267,360810306004,40.6637,-73.771,175.0,2478.5485717159922
129021,private_auto,10480.679014272757,360810945002,40.7849,-73.8305,360811377002,40.7461,-73.7502,175.0,1834.1188274977326
129053,private_auto,7236.787303206682,360811621005,40.7251,-73.7281,360811377002,40.7461,-73.7502,175.0,1266.4377780611692
129064,private_auto,20479.761507773655,360471104001,40.6548,-73.8903,360811377002,40.7461,-73.7502,175.0,3583.9582638603897
129069,private_auto,2944.6699602463455,360811483002,40.7697,-73.7502,360811385011,40.7567,-73.7563,175.0,515.3172430431105
129118,private_auto,26197.708607619024,360811483003,40.7771,-73.7508,360610168002,40.7898,-73.9523,175.0,4584.599006333329
130068,private_auto,2112.3909105261087,360811032011,40.6086,-73.7583,360811010041,40.5972,-73.7512,175.0,369.668409342069
130091,private_auto,4730.309140929179,360810357001,40.7682,-73.8744,360810115001,40.7735,-73.9144,175.0,827.8040996626064
131359,private_auto,11325.282152013198,360810334051,40.6748,-73.7688,360810799001,40.7469,-73.8258,175.0,1981.9243766023096
131619,private_auto,6735.13227610014,360050117021,40.8097,-73.8753,360610198001,40.8042,-73.9414,175.0,1178.6481483175246
131720,private_auto,4474.522880615619,360811467002,40.7609,-73.7733,360811347022,40.7393,-73.7792,175.0,783.0415041077333
